frame,time_s,angle_deg,tip_x,tip_y,base_x,base_y,base_dir_deg,tip_dir_deg,n_skeleton,mid_x,mid_y,needle_len
62,2.0646,5.749,389.46,270.90,847.00,303.50,-180.000,174.251,549,389.46,270.90,39.10
63,2.0979,5.209,389.48,270.77,847.00,302.50,-180.000,174.791,519,389.48,270.77,39.11
64,2.1312,5.130,388.52,270.80,847.00,302.50,-180.000,174.870,542,388.52,270.80,39.02
65,2.1645,5.460,388.48,270.75,847.00,302.50,-180.000,174.540,542,388.48,270.75,39.11
66,2.1978,5.338,388.47,270.82,847.00,302.50,-180.000,174.662,573,388.47,270.82,39.11
67,2.2311,5.253,387.52,270.78,847.00,302.50,-180.000,174.747,561,387.52,270.78,39.02
68,2.2644,5.338,388.47,270.82,847.00,302.50,-180.000,174.662,571,388.47,270.82,39.11
69,2.2977,5.470,386.49,270.65,847.00,302.50,-180.000,174.530,585,386.49,270.65,39.11
70,2.3310,3.475,389.44,270.45,847.00,302.50,-180.000,176.525,558,389.44,270.45,39.11
71,2.3643,5.269,389.47,270.85,847.00,302.50,-180.000,174.731,584,389.47,270.85,39.11
72,2.3976,5.269,389.47,270.85,847.00,302.50,-180.000,174.731,587,389.47,270.85,39.11
73,2.4309,3.294,404.42,271.42,847.00,302.50,-180.000,176.706,601,404.42,271.42,69.12
74,2.4642,4.200,388.46,270.50,847.00,302.50,-180.000,175.800,609,388.46,270.50,39.04
75,2.4975,3.384,404.43,271.65,847.00,302.50,-180.000,176.616,593,404.43,271.65,69.06
76,2.5308,3.308,388.46,270.70,847.00,302.50,-180.000,176.692,639,388.46,270.70,39.05
77,2.5641,3.273,403.44,271.48,847.00,302.50,-180.000,176.727,666,403.44,271.48,69.06
78,2.5974,3.812,404.41,271.38,847.00,302.50,-180.000,176.188,699,404.41,271.38,69.11
79,2.6307,3.357,404.92,271.39,847.00,302.00,-180.000,176.643,701,404.92,271.39,70.00
80,2.6640,3.570,404.89,271.29,847.00,302.00,-180.000,176.430,701,404.89,271.29,70.05
81,2.6973,3.660,404.41,271.37,847.00,302.00,-180.000,176.340,705,404.41,271.37,69.11
82,2.7306,3.722,404.94,271.49,847.00,302.50,-180.000,176.278,704,404.94,271.49,68.05
83,2.7639,3.898,403.96,271.56,847.00,302.50,-180.000,176.102,704,403.96,271.56,68.11
84,2.7972,3.863,403.46,271.54,847.00,302.50,-180.000,176.137,708,403.46,271.54,69.11
85,2.8305,3.886,402.47,271.37,847.00,302.50,-180.000,176.114,738,402.47,271.37,71.11
86,2.8638,3.922,402.48,271.36,847.00,302.50,-180.000,176.078,759,402.48,271.36,71.11
87,2.8971,3.970,403.94,271.31,847.00,302.00,-180.000,176.030,734,403.94,271.31,70.04
88,2.9304,3.964,403.94,271.38,847.00,303.00,-180.000,176.036,737,403.94,271.38,70.04
89,2.9637,3.662,404.91,271.41,847.00,303.00,-180.000,176.338,718,404.91,271.41,67.99
90,2.9970,3.782,404.93,271.50,847.00,303.00,-180.000,176.218,759,404.93,271.50,68.05
91,3.0303,5.555,390.49,270.57,847.00,303.00,-180.000,174.445,739,390.49,270.57,39.11
92,3.0636,5.552,387.48,270.22,847.00,303.00,-180.000,174.448,758,387.48,270.22,39.01
93,3.0969,4.703,389.44,270.24,847.00,303.00,-180.000,175.297,743,389.44,270.24,39.11
94,3.1302,6.466,389.44,270.52,847.00,303.00,-180.000,173.534,727,389.44,270.52,39.20
95,3.1635,6.363,386.50,270.00,847.00,302.50,-180.000,173.637,695,386.50,270.00,39.20
96,3.1968,6.271,386.52,269.80,847.00,302.00,-180.000,173.729,650,386.52,269.80,39.20
97,3.2301,6.542,389.43,270.07,847.00,302.00,-180.000,173.458,659,389.43,270.07,39.32
98,3.2634,6.736,389.46,270.35,847.00,302.00,-180.000,173.264,670,389.46,270.35,39.20
99,3.2967,6.736,389.46,270.35,847.00,302.50,-180.000,173.264,622,389.46,270.35,39.20
100,3.3300,6.736,389.46,270.35,847.00,302.50,-180.000,173.264,615,389.46,270.35,39.20
101,3.3633,6.736,389.46,270.35,847.00,302.50,-180.000,173.264,631,389.46,270.35,39.20
102,3.3966,6.361,390.50,270.48,847.00,302.50,-180.000,173.639,632,390.50,270.48,39.09
103,3.4299,5.988,388.54,270.13,847.00,302.50,-180.000,174.012,630,388.54,270.13,39.10
104,3.4632,6.036,390.47,270.25,847.00,302.00,-180.000,173.964,613,390.47,270.25,39.20
105,3.4965,6.180,390.47,270.27,847.00,302.00,-180.000,173.820,622,390.47,270.27,39.20
106,3.5298,5.882,390.47,270.27,847.00,302.00,-180.000,174.118,648,390.47,270.27,39.20
107,3.5631,4.976,386.53,270.13,847.00,302.00,-180.000,175.024,662,386.53,270.13,39.11
108,3.5964,5.174,386.53,270.20,847.00,302.50,-180.000,174.826,701,386.53,270.20,39.11
109,3.6297,5.308,386.53,270.18,847.00,302.00,-180.000,174.692,668,386.53,270.18,39.11
110,3.6630,4.743,386.51,270.38,847.00,302.00,-180.000,175.257,669,386.51,270.38,39.11
111,3.6963,4.908,386.51,270.40,847.00,302.00,-180.000,175.092,677,386.51,270.40,39.11
112,3.7296,4.827,386.51,270.33,847.00,302.00,-180.000,175.173,713,386.51,270.33,39.11
113,3.7629,4.827,386.51,270.33,847.00,302.00,-180.000,175.173,733,386.51,270.33,39.11
114,3.7962,3.294,404.93,271.17,847.00,302.00,-180.000,176.706,745,404.93,271.17,68.00
115,3.8295,3.477,403.93,271.16,847.00,302.00,-180.000,176.523,735,403.93,271.16,68.12
116,3.8628,3.465,404.46,271.23,847.00,302.00,-180.000,176.535,746,404.46,271.23,67.06
117,3.8961,3.622,404.91,271.37,847.00,302.00,-180.000,176.378,716,404.91,271.37,67.99
118,3.9294,4.977,390.50,270.45,847.00,302.00,-180.000,175.023,707,390.50,270.45,39.11
119,3.9627,4.493,390.47,270.42,847.00,302.00,-180.000,175.507,745,390.47,270.42,39.04
120,3.9960,3.682,403.96,270.67,847.00,302.00,-180.000,176.318,742,403.96,270.67,70.11
121,4.0293,5.376,388.48,270.25,847.00,302.00,-180.000,174.624,745,388.48,270.25,39.02
122,4.0626,5.376,388.48,270.25,847.00,302.00,-180.000,174.624,733,388.48,270.25,39.02
123,4.0959,3.586,403.97,271.03,847.00,302.00,-180.000,176.414,742,403.97,271.03,70.05
124,4.1292,3.757,404.43,271.00,847.00,302.00,-180.000,176.243,752,404.43,271.00,69.11
125,4.1625,5.617,389.44,270.09,847.00,302.00,-180.000,174.383,751,389.44,270.09,39.11
126,4.1958,3.785,403.43,271.04,847.00,302.00,-180.000,176.215,693,403.43,271.04,67.12
127,4.2291,6.152,389.47,270.25,847.00,302.00,-180.000,173.848,680,389.47,270.25,39.20
128,4.2624,6.024,390.46,270.35,847.00,302.00,-180.000,173.976,663,390.46,270.35,39.20
129,4.2957,5.609,386.49,269.60,847.00,302.00,-180.000,174.391,639,386.49,269.60,39.11
130,4.3290,5.609,386.49,269.60,847.00,302.00,-180.000,174.391,641,386.49,269.60,39.11
131,4.3623,6.794,386.52,269.83,847.00,302.00,-180.000,173.206,617,386.52,269.83,39.20
132,4.3956,6.349,389.42,270.22,847.00,302.00,-180.000,173.651,579,389.42,270.22,39.31
133,4.4289,7.535,387.48,269.67,847.00,302.00,-180.000,172.465,570,387.48,269.67,39.32
134,4.4622,7.583,387.47,269.70,847.00,302.00,-180.000,172.417,560,387.47,269.70,39.32
135,4.4955,7.346,389.46,269.82,847.00,302.00,-180.000,172.654,522,389.46,269.82,39.32
136,4.5288,6.761,390.41,269.79,847.00,302.00,-180.000,173.239,546,390.41,269.79,39.20
137,4.5621,7.253,389.42,269.66,847.00,302.00,-180.000,172.747,534,389.42,269.66,39.19
138,4.5954,7.079,389.42,269.64,847.00,302.00,-180.000,172.921,500,389.42,269.64,39.20
139,4.6287,7.233,388.48,269.62,847.00,302.00,-180.000,172.767,481,388.48,269.62,39.32
140,4.6620,7.058,388.48,269.65,847.00,302.00,-180.000,172.942,481,388.48,269.65,39.32
141,4.6953,5.886,390.38,270.16,847.00,302.00,-180.000,174.114,479,390.38,270.16,39.20
142,4.7286,5.815,390.39,270.09,847.00,302.00,-180.000,174.185,480,390.39,270.09,39.20
143,4.7619,5.424,389.54,270.13,847.00,302.00,-180.000,174.576,491,389.54,270.13,39.11
144,4.7952,5.482,390.42,270.29,847.00,302.00,-180.000,174.518,479,390.42,270.29,39.11
145,4.8285,5.598,389.52,270.25,847.00,302.00,-180.000,174.402,480,389.52,270.25,39.11
146,4.8618,5.444,389.53,270.23,847.00,302.00,-180.000,174.556,488,389.53,270.23,39.11
147,4.8951,6.340,389.50,270.52,847.00,302.00,-180.000,173.660,501,389.50,270.52,39.09
148,4.9284,6.205,389.51,270.45,847.00,302.00,-180.000,173.795,501,389.51,270.45,39.10
149,4.9617,5.565,390.45,270.50,847.00,302.50,-180.000,174.435,501,390.45,270.50,39.20
150,4.9950,5.906,388.47,270.30,847.00,302.50,-180.000,174.094,502,388.47,270.30,39.20
151,5.0283,5.906,388.47,270.30,847.00,302.50,-180.000,174.094,516,388.47,270.30,39.20
152,5.0616,5.453,390.46,270.47,847.00,302.50,-180.000,174.547,508,390.46,270.47,39.20
153,5.0949,6.053,390.43,270.67,847.00,302.50,-180.000,173.947,499,390.43,270.67,39.20
154,5.1282,6.053,390.43,270.67,847.00,303.00,-180.000,173.947,507,390.43,270.67,39.20
155,5.1615,6.053,390.43,270.67,847.00,303.00,-180.000,173.947,507,390.43,270.67,39.20
156,5.1948,6.155,390.43,270.64,847.00,302.50,-180.000,173.845,533,390.43,270.64,39.20
157,5.2281,6.155,390.43,270.64,847.00,302.50,-180.000,173.845,534,390.43,270.64,39.20
158,5.2614,6.037,390.43,270.69,847.00,302.50,-180.000,173.963,533,390.43,270.69,39.20
159,5.2947,6.167,388.47,270.27,847.00,302.50,-180.000,173.833,542,388.47,270.27,39.20
160,5.3280,5.991,388.47,270.30,847.00,302.50,-180.000,174.009,535,388.47,270.30,39.20
161,5.3613,5.991,388.47,270.30,847.00,302.50,-180.000,174.009,527,388.47,270.30,39.20
162,5.3946,5.588,390.45,270.54,847.00,302.50,-180.000,174.412,535,390.45,270.54,39.20
163,5.4279,5.513,389.45,270.50,847.00,303.00,-180.000,174.487,532,389.45,270.50,39.20
164,5.4612,5.486,390.45,270.57,847.00,303.00,-180.000,174.514,517,390.45,270.57,39.20
165,5.4945,4.949,389.46,270.95,847.00,303.00,-180.000,175.051,524,389.46,270.95,39.11
166,5.5278,4.949,389.46,270.95,847.00,303.00,-180.000,175.051,540,389.46,270.95,39.11
167,5.5611,4.911,389.46,270.92,847.00,303.00,-180.000,175.089,528,389.46,270.92,39.11
168,5.5944,5.972,387.49,270.55,847.00,303.00,-180.000,174.028,520,387.49,270.55,39.10
169,5.6277,5.977,387.50,270.52,847.00,303.00,-180.000,174.023,536,387.50,270.52,39.10
170,5.6610,6.032,387.49,270.57,847.00,303.00,-180.000,173.968,524,387.49,270.57,39.10
171,5.6943,5.972,387.50,270.50,847.00,303.00,-180.000,174.028,524,387.50,270.50,39.10
